ssTicker,SpotPrice,Strike,DTE,FittedIV,ActualIV
SPY,550.0,480,45,0.1999,0.2241
SPY,550.0,495,45,0.1851,0.2068
SPY,550.0,510,45,0.1711,0.1517
SPY,550.0,520,45,0.1622,0.1551
SPY,550.0,535,45,0.1495,0.1571
SPY,550.0,550,45,0.1376,0.1598
SPY,550.0,565,45,0.1262,0.1152
SPY,550.0,580,45,0.1155,0.1112
SPY,550.0,590,45,0.1087,0.0831
SPY,550.0,605,45,0.0989,0.0711
SPY,550.0,620,45,0.0896,0.1086
SPY,550.0,630,45,0.0837,0.1156
SPY,550.0,645,45,0.0753,0.0736
SPY,550.0,660,45,0.0672,0.091
SPY,550.0,440,60,0.2327,0.2395
SPY,550.0,455,60,0.2175,0.2055
SPY,550.0,470,60,0.2033,0.21
SPY,550.0,480,60,0.1943,0.2226
SPY,550.0,495,60,0.1814,0.1808
SPY,550.0,510,60,0.1693,0.1976
SPY,550.0,520,60,0.1616,0.1145
SPY,550.0,535,60,0.1507,0.1653
SPY,550.0,550,60,0.1403,0.1418
SPY,550.0,565,60,0.1305,0.1251
SPY,550.0,580,60,0.1212,0.1228
SPY,550.0,590,60,0.1153,0.0794
SPY,550.0,605,60,0.1068,0.1028
SPY,550.0,620,60,0.0988,0.1053
SPY,550.0,630,60,0.0937,0.1208
SPY,550.0,645,60,0.0863,0.0767
SPY,550.0,660,60,0.0794,0.0643
SPY,550.0,440,90,0.2203,0.2134
SPY,550.0,455,90,0.2079,0.2203
SPY,550.0,470,90,0.1963,0.2007
SPY,550.0,480,90,0.1889,0.1819
SPY,550.0,495,90,0.1784,0.1852
SPY,550.0,510,90,0.1686,0.1698
SPY,550.0,520,90,0.1623,0.1748
SPY,550.0,535,90,0.1533,0.1443
SPY,550.0,550,90,0.1448,0.1407
SPY,550.0,565,90,0.1368,0.1318
SPY,550.0,580,90,0.1292,0.1104
SPY,550.0,590,90,0.1244,0.1283
SPY,550.0,605,90,0.1175,0.1209
SPY,550.0,620,90,0.111,0.111
SPY,550.0,630,90,0.1068,0.1037
SPY,550.0,645,90,0.1008,0.0818
SPY,550.0,660,90,0.0951,0.0894
SPY,550.0,440,120,0.214,0.2101
SPY,550.0,455,120,0.2033,0.1944
SPY,550.0,470,120,0.1932,0.1915
SPY,550.0,480,120,0.1869,0.1912
SPY,550.0,495,120,0.1778,0.1978
SPY,550.0,510,120,0.1692,0.171
SPY,550.0,520,120,0.1638,0.1665
SPY,550.0,535,120,0.156,0.1552
SPY,550.0,550,120,0.1487,0.1293
SPY,550.0,565,120,0.1417,0.1415
SPY,550.0,580,120,0.1352,0.1358
SPY,550.0,590,120,0.131,0.1567
SPY,550.0,605,120,0.125,0.123
SPY,550.0,620,120,0.1193,0.1226
SPY,550.0,630,120,0.1157,0.1153
SPY,550.0,645,120,0.1105,0.0978
SPY,550.0,660,120,0.1056,0.1182
SPY,550.0,440,180,0.2084,0.215
SPY,550.0,455,180,0.1997,0.2064
SPY,550.0,470,180,0.1915,0.1839
SPY,550.0,480,180,0.1863,0.1979
SPY,550.0,495,180,0.1789,0.1675
SPY,550.0,510,180,0.1719,0.1766
SPY,550.0,520,180,0.1675,0.1846
SPY,550.0,535,180,0.1611,0.1535
SPY,550.0,550,180,0.1551,0.1508
SPY,550.0,565,180,0.1494,0.1502
SPY,550.0,580,180,0.1441,0.1401
SPY,550.0,590,180,0.1407,0.1284
SPY,550.0,605,180,0.1358,0.1363
SPY,550.0,620,180,0.1312,0.1225
SPY,550.0,630,180,0.1282,0.1321
SPY,550.0,645,180,0.124,0.1163
SPY,550.0,660,180,0.12,0.1331
AAPL,225.0,180,7,0.4019,0.3599
AAPL,225.0,186,7,0.3733,0.3561
AAPL,225.0,191,7,0.3508,0.3941
AAPL,225.0,197,7,0.3251,0.2597
AAPL,225.0,202,7,0.3048,0.3169
AAPL,225.0,208,7,0.2817,0.3509
AAPL,225.0,214,7,0.2599,0.1751
AAPL,225.0,219,7,0.2426,0.2523
AAPL,225.0,225,7,0.2228,0.2364
AAPL,225.0,231,7,0.204,0.2452
AAPL,225.0,236,7,0.1891,0.1239
AAPL,225.0,242,7,0.1721,0.1023
AAPL,225.0,248,7,0.1559,0.1836
AAPL,225.0,253,7,0.143,0.1588
AAPL,225.0,259,7,0.1283,0.1416
AAPL,225.0,264,7,0.1166,0.135
AAPL,225.0,270,7,0.1031,0.0668
AAPL,225.0,180,14,0.3506,0.363
AAPL,225.0,186,14,0.3304,0.346
AAPL,225.0,191,14,0.3144,0.2763
AAPL,225.0,197,14,0.2963,0.3955
AAPL,225.0,202,14,0.2819,0.3071
AAPL,225.0,208,14,0.2656,0.2026
AAPL,225.0,214,14,0.2502,0.2848
AAPL,225.0,219,14,0.2379,0.1866
AAPL,225.0,225,14,0.2239,0.2652
AAPL,225.0,231,14,0.2107,0.2716
AAPL,225.0,236,14,0.2001,0.1568
AAPL,225.0,242,14,0.1881,0.239
AAPL,225.0,248,14,0.1766,0.1985
AAPL,225.0,253,14,0.1675,0.2112
AAPL,225.0,259,14,0.1571,0.258
AAPL,225.0,264,14,0.1488,0.1357
AAPL,225.0,270,14,0.1393,0.0991
AAPL,225.0,180,30,0.3123,0.282
AAPL,225.0,186,30,0.2985,0.2708
AAPL,225.0,191,30,0.2876,0.285
AAPL,225.0,197,30,0.2752,0.2866
AAPL,225.0,202,30,0.2654,0.2746
AAPL,225.0,208,30,0.2542,0.2818
AAPL,225.0,214,30,0.2437,0.2441
AAPL,225.0,219,30,0.2353,0.2833
AAPL,225.0,225,30,0.2257,0.217
AAPL,225.0,231,30,0.2167,0.3066
AAPL,225.0,236,30,0.2095,0.2302
AAPL,225.0,242,30,0.2013,0.1727
AAPL,225.0,248,30,0.1934,0.1577
AAPL,225.0,253,30,0.1872,0.2034
AAPL,225.0,259,30,0.1801,0.1726
AAPL,225.0,264,30,0.1744,0.1985
AAPL,225.0,270,30,0.1679,0.1839
AAPL,225.0,180,45,0.2977,0.2959
AAPL,225.0,186,45,0.2864,0.2663
AAPL,225.0,191,45,0.2775,0.2418
AAPL,225.0,197,45,0.2674,0.2569
AAPL,225.0,202,45,0.2594,0.2794
AAPL,225.0,208,45,0.2503,0.2552
AAPL,225.0,214,45,0.2417,0.213
AAPL,225.0,219,45,0.2348,0.2388
AAPL,225.0,225,45,0.227,0.2358
AAPL,225.0,231,45,0.2196,0.1994
AAPL,225.0,236,45,0.2138,0.2173
AAPL,225.0,242,45,0.207,0.2084
AAPL,225.0,248,45,0.2007,0.1741
AAPL,225.0,253,45,0.1956,0.2039
AAPL,225.0,259,45,0.1898,0.2029
AAPL,225.0,264,45,0.1851,0.2107
AAPL,225.0,270,45,0.1798,0.2048
AAPL,225.0,180,60,0.2893,0.2634
AAPL,225.0,186,60,0.2795,0.262
AAPL,225.0,191,60,0.2718,0.2814
AAPL,225.0,197,60,0.2631,0.2725
AAPL,225.0,202,60,0.2561,0.2655
AAPL,225.0,208,60,0.2482,0.318
AAPL,225.0,214,60,0.2408,0.251
AAPL,225.0,219,60,0.2349,0.2551
AAPL,225.0,225,60,0.2281,0.245
AAPL,225.0,231,60,0.2217,0.2333
AAPL,225.0,236,60,0.2166,0.211
AAPL,225.0,242,60,0.2108,0.2245
AAPL,225.0,248,60,0.2053,0.1912
AAPL,225.0,253,60,0.2009,0.1965
AAPL,225.0,259,60,0.1958,0.1869
AAPL,225.0,264,60,0.1918,0.1933
AAPL,225.0,270,60,0.1872,0.2303
AAPL,225.0,180,90,0.2799,0.2542
AAPL,225.0,186,90,0.2719,0.2812
AAPL,225.0,191,90,0.2656,0.2439
AAPL,225.0,197,90,0.2585,0.2522
AAPL,225.0,202,90,0.2528,0.2672
AAPL,225.0,208,90,0.2464,0.2472
AAPL,225.0,214,90,0.2403,0.2264
AAPL,225.0,219,90,0.2354,0.2263
AAPL,225.0,225,90,0.2299,0.2385
AAPL,225.0,231,90,0.2247,0.2154
AAPL,225.0,236,90,0.2205,0.2233
AAPL,225.0,242,90,0.2158,0.2164
AAPL,225.0,248,90,0.2113,0.2027
AAPL,225.0,253,90,0.2077,0.2361
AAPL,225.0,259,90,0.2036,0.212
AAPL,225.0,264,90,0.2003,0.1731
AAPL,225.0,270,90,0.1966,0.1991
AAPL,225.0,180,120,0.2747,0.2673
AAPL,225.0,186,120,0.2678,0.2773
AAPL,225.0,191,120,0.2624,0.2537
AAPL,225.0,197,120,0.2562,0.2549
AAPL,225.0,202,120,0.2513,0.2567
AAPL,225.0,208,120,0.2457,0.2548
AAPL,225.0,214,120,0.2404,0.228
AAPL,225.0,219,120,0.2362,0.2328
AAPL,225.0,225,120,0.2315,0.2267
AAPL,225.0,231,120,0.2269,0.2203
AAPL,225.0,236,120,0.2233,0.2416
AAPL,225.0,242,120,0.2192,0.2235
AAPL,225.0,248,120,0.2153,0.202
AAPL,225.0,253,120,0.2122,0.222
AAPL,225.0,259,120,0.2087,0.2316
AAPL,225.0,264,120,0.2058,0.2171
AAPL,225.0,270,120,0.2026,0.1858
AAPL,225.0,180,180,0.2694,0.2652
AAPL,225.0,186,180,0.2637,0.2745
AAPL,225.0,191,180,0.2593,0.2533
AAPL,225.0,197,180,0.2542,0.2579
AAPL,225.0,202,180,0.2502,0.2565
AAPL,225.0,208,180,0.2457,0.2383
AAPL,225.0,214,180,0.2414,0.2409
AAPL,225.0,219,180,0.2379,0.213
AAPL,225.0,225,180,0.234,0.2263
AAPL,225.0,231,180,0.2303,0.2284
AAPL,225.0,236,180,0.2274,0.2177
AAPL,225.0,242,180,0.2241,0.237
AAPL,225.0,248,180,0.2209,0.2093
AAPL,225.0,253,180,0.2183,0.2147
AAPL,225.0,259,180,0.2154,0.2165
AAPL,225.0,264,180,0.2131,0.2252
AAPL,225.0,270,180,0.2104,0.1983
MSFT,420.0,335,7,0.3519,0.4142
MSFT,420.0,345,7,0.3304,0.3309
MSFT,420.0,355,7,0.3101,0.2578
MSFT,420.0,370,7,0.2818,0.3063
MSFT,420.0,380,7,0.2642,0.2748
MSFT,420.0,390,7,0.2476,0.2158
MSFT,420.0,400,7,0.2318,0.2355
MSFT,420.0,410,7,0.2169,0.1966
MSFT,420.0,420,7,0.2028,0.2087
MSFT,420.0,430,7,0.1894,0.2242
MSFT,420.0,440,7,0.1767,0.2603
MSFT,420.0,450,7,0.1646,0.0992
MSFT,420.0,460,7,0.1532,0.2662
MSFT,420.0,470,7,0.1424,0.0388
MSFT,420.0,485,7,0.1271,0.119
MSFT,420.0,495,7,0.1176,0.149
MSFT,420.0,505,7,0.1086,0.1236
MSFT,420.0,335,14,0.3093,0.2759
MSFT,420.0,345,14,0.2941,0.283
MSFT,420.0,355,14,0.2798,0.2535
MSFT,420.0,370,14,0.2598,0.2285
MSFT,420.0,380,14,0.2474,0.2924
MSFT,420.0,390,14,0.2356,0.2545
MSFT,420.0,400,14,0.2245,0.1879
MSFT,420.0,410,14,0.2139,0.2612
MSFT,420.0,420,14,0.2039,0.2201
MSFT,420.0,430,14,0.1944,0.2372
MSFT,420.0,440,14,0.1855,0.2187
MSFT,420.0,450,14,0.1769,0.1331
MSFT,420.0,460,14,0.1689,0.1392
MSFT,420.0,470,14,0.1612,0.2009
MSFT,420.0,485,14,0.1504,0.1829
MSFT,420.0,495,14,0.1437,0.1426
MSFT,420.0,505,14,0.1373,0.1436
MSFT,420.0,335,30,0.2778,0.3213
MSFT,420.0,345,30,0.2674,0.2473
MSFT,420.0,355,30,0.2576,0.2761
MSFT,420.0,370,30,0.2439,0.2371
MSFT,420.0,380,30,0.2354,0.2281
MSFT,420.0,390,30,0.2274,0.2639
MSFT,420.0,400,30,0.2198,0.2471
MSFT,420.0,410,30,0.2126,0.2394
MSFT,420.0,420,30,0.2057,0.2487
MSFT,420.0,430,30,0.1993,0.2
MSFT,420.0,440,30,0.1931,0.2157
MSFT,420.0,450,30,0.1873,0.177
MSFT,420.0,460,30,0.1818,0.1926
MSFT,420.0,470,30,0.1766,0.1722
MSFT,420.0,485,30,0.1692,0.1725
MSFT,420.0,495,30,0.1646,0.1847
MSFT,420.0,505,30,0.1602,0.1325
MSFT,420.0,335,45,0.2658,0.3158
MSFT,420.0,345,45,0.2574,0.2334
MSFT,420.0,355,45,0.2494,0.2207
MSFT,420.0,370,45,0.2382,0.2653
MSFT,420.0,380,45,0.2313,0.2497
MSFT,420.0,390,45,0.2247,0.2391
MSFT,420.0,400,45,0.2185,0.2329
MSFT,420.0,410,45,0.2126,0.2123
MSFT,420.0,420,45,0.207,0.1866
MSFT,420.0,430,45,0.2017,0.2035
MSFT,420.0,440,45,0.1967,0.1811
MSFT,420.0,450,45,0.192,0.2145
MSFT,420.0,460,45,0.1875,0.1841
MSFT,420.0,470,45,0.1832,0.1639
MSFT,420.0,485,45,0.1772,0.1696
MSFT,420.0,495,45,0.1734,0.1832
MSFT,420.0,505,45,0.1699,0.1565
MSFT,420.0,335,60,0.259,0.2435
MSFT,420.0,345,60,0.2517,0.2562
MSFT,420.0,355,60,0.2448,0.2493
MSFT,420.0,370,60,0.2351,0.2258
MSFT,420.0,380,60,0.2291,0.2205
MSFT,420.0,390,60,0.2234,0.2276
MSFT,420.0,400,60,0.218,0.192
MSFT,420.0,410,60,0.2129,0.1878
MSFT,420.0,420,60,0.2081,0.1954
MSFT,420.0,430,60,0.2035,0.1997
MSFT,420.0,440,60,0.1992,0.2048
MSFT,420.0,450,60,0.1951,0.2217
MSFT,420.0,460,60,0.1912,0.2068
MSFT,420.0,470,60,0.1875,0.1846
MSFT,420.0,485,60,0.1823,0.1819
MSFT,420.0,495,60,0.179,0.1604
MSFT,420.0,505,60,0.1759,0.1756
MSFT,420.0,335,90,0.2515,0.2475
MSFT,420.0,345,90,0.2455,0.2499
MSFT,420.0,355,90,0.2399,0.2287
MSFT,420.0,370,90,0.232,0.2389
MSFT,420.0,380,90,0.2271,0.2472
MSFT,420.0,390,90,0.2224,0.221
MSFT,420.0,400,90,0.218,0.2232
MSFT,420.0,410,90,0.2139,0.2227
MSFT,420.0,420,90,0.2099,0.2049
MSFT,420.0,430,90,0.2062,0.2091
MSFT,420.0,440,90,0.2027,0.2028
MSFT,420.0,450,90,0.1993,0.2006
MSFT,420.0,460,90,0.1961,0.186
MSFT,420.0,470,90,0.1931,0.1934
MSFT,420.0,485,90,0.1888,0.1955
MSFT,420.0,495,90,0.1862,0.2057
MSFT,420.0,505,90,0.1837,0.1967
MSFT,420.0,335,120,0.2475,0.2717
MSFT,420.0,345,120,0.2423,0.2338
MSFT,420.0,355,120,0.2374,0.2469
MSFT,420.0,370,120,0.2306,0.2325
MSFT,420.0,380,120,0.2263,0.2495
MSFT,420.0,390,120,0.2223,0.2138
MSFT,420.0,400,120,0.2185,0.2098
MSFT,420.0,410,120,0.2149,0.2088
MSFT,420.0,420,120,0.2115,0.19
MSFT,420.0,430,120,0.2082,0.2029
MSFT,420.0,440,120,0.2052,0.1973
MSFT,420.0,450,120,0.2023,0.2038
MSFT,420.0,460,120,0.1995,0.2031
MSFT,420.0,470,120,0.1969,0.2169
MSFT,420.0,485,120,0.1932,0.2035
MSFT,420.0,495,120,0.1909,0.1846
MSFT,420.0,505,120,0.1887,0.1788
MSFT,420.0,335,180,0.2434,0.2477
MSFT,420.0,345,180,0.2392,0.2279
MSFT,420.0,355,180,0.2352,0.2506
MSFT,420.0,370,180,0.2296,0.2393
MSFT,420.0,380,180,0.2262,0.2224
MSFT,420.0,390,180,0.2229,0.2093
MSFT,420.0,400,180,0.2198,0.2304
MSFT,420.0,410,180,0.2168,0.216
MSFT,420.0,420,180,0.214,0.2234
MSFT,420.0,430,180,0.2114,0.1991
MSFT,420.0,440,180,0.2089,0.2042
MSFT,420.0,450,180,0.2065,0.2066
MSFT,420.0,460,180,0.2043,0.2046
MSFT,420.0,470,180,0.2021,0.1985
MSFT,420.0,485,180,0.1991,0.2043
MSFT,420.0,495,180,0.1972,0.1883
MSFT,420.0,505,180,0.1955,0.1943
NVDA,125.0,100,7,0.5596,0.566
NVDA,125.0,103,7,0.54,0.5675
NVDA,125.0,106,7,0.5222,0.5602
NVDA,125.0,109,7,0.5061,0.4463
NVDA,125.0,112,7,0.4914,0.41
NVDA,125.0,116,7,0.4741,0.5416
NVDA,125.0,119,7,0.4626,0.4801
NVDA,125.0,122,7,0.4523,0.4129
NVDA,125.0,125,7,0.4431,0.5245
NVDA,125.0,128,7,0.4349,0.441
NVDA,125.0,131,7,0.4277,0.4899
NVDA,125.0,134,7,0.4215,0.425
NVDA,125.0,138,7,0.4144,0.5236
NVDA,125.0,141,7,0.4101,0.5033
NVDA,125.0,144,7,0.4064,0.3932
NVDA,125.0,147,7,0.4035,0.4553
NVDA,125.0,150,7,0.4013,0.4357
NVDA,125.0,100,14,0.5226,0.596
NVDA,125.0,103,14,0.5088,0.4572
NVDA,125.0,106,14,0.4962,0.5328
NVDA,125.0,109,14,0.4848,0.541
NVDA,125.0,112,14,0.4744,0.3811
NVDA,125.0,116,14,0.4621,0.3996
NVDA,125.0,119,14,0.454,0.3464
NVDA,125.0,122,14,0.4467,0.4325
NVDA,125.0,125,14,0.4402,0.4779
NVDA,125.0,128,14,0.4344,0.5135
NVDA,125.0,131,14,0.4294,0.4333
NVDA,125.0,134,14,0.4249,0.511
NVDA,125.0,138,14,0.4199,0.3468
NVDA,125.0,141,14,0.4169,0.3264
NVDA,125.0,144,14,0.4143,0.4114
NVDA,125.0,147,14,0.4122,0.4327
NVDA,125.0,150,14,0.4106,0.4089
NVDA,125.0,100,30,0.492,0.4216
NVDA,125.0,103,30,0.4825,0.4795
NVDA,125.0,106,30,0.4739,0.4299
NVDA,125.0,109,30,0.4661,0.4886
NVDA,125.0,112,30,0.459,0.4713
NVDA,125.0,116,30,0.4506,0.4194
NVDA,125.0,119,30,0.4451,0.428
NVDA,125.0,122,30,0.4401,0.4051
NVDA,125.0,125,30,0.4357,0.4336
NVDA,125.0,128,30,0.4317,0.4633
NVDA,125.0,131,30,0.4283,0.3956
NVDA,125.0,134,30,0.4252,0.442
NVDA,125.0,138,30,0.4218,0.4041
NVDA,125.0,141,30,0.4197,0.3931
NVDA,125.0,144,30,0.418,0.4144
NVDA,125.0,147,30,0.4166,0.3816
NVDA,125.0,150,30,0.4155,0.3967
NVDA,125.0,100,45,0.4784,0.4498
NVDA,125.0,103,45,0.4707,0.5173
NVDA,125.0,106,45,0.4637,0.4645
NVDA,125.0,109,45,0.4573,0.4409
NVDA,125.0,112,45,0.4515,0.4565
NVDA,125.0,116,45,0.4447,0.4421
NVDA,125.0,119,45,0.4401,0.4351
NVDA,125.0,122,45,0.4361,0.4501
NVDA,125.0,125,45,0.4324,0.4497
NVDA,125.0,128,45,0.4292,0.4171
NVDA,125.0,131,45,0.4264,0.4131
NVDA,125.0,134,45,0.4239,0.4176
NVDA,125.0,138,45,0.4211,0.3676
NVDA,125.0,141,45,0.4194,0.384
NVDA,125.0,144,45,0.418,0.4501
NVDA,125.0,147,45,0.4168,0.4556
NVDA,125.0,150,45,0.4159,0.41
NVDA,125.0,100,60,0.4695,0.4804
NVDA,125.0,103,60,0.4628,0.4687
NVDA,125.0,106,60,0.4568,0.5138
NVDA,125.0,109,60,0.4512,0.4718
NVDA,125.0,112,60,0.4462,0.4439
NVDA,125.0,116,60,0.4403,0.423
NVDA,125.0,119,60,0.4364,0.4075
NVDA,125.0,122,60,0.4329,0.4365
NVDA,125.0,125,60,0.4297,0.4163
NVDA,125.0,128,60,0.4269,0.4016
NVDA,125.0,131,60,0.4245,0.4129
NVDA,125.0,134,60,0.4223,0.4028
NVDA,125.0,138,60,0.4199,0.4507
NVDA,125.0,141,60,0.4185,0.4346
NVDA,125.0,144,60,0.4172,0.4171
NVDA,125.0,147,60,0.4162,0.4436
NVDA,125.0,150,60,0.4154,0.4169
NVDA,125.0,100,90,0.4577,0.4458
NVDA,125.0,103,90,0.4522,0.4729
NVDA,125.0,106,90,0.4472,0.4545
NVDA,125.0,109,90,0.4427,0.4289
NVDA,125.0,112,90,0.4387,0.4361
NVDA,125.0,116,90,0.4338,0.4224
NVDA,125.0,119,90,0.4306,0.4128
NVDA,125.0,122,90,0.4277,0.4396
NVDA,125.0,125,90,0.4252,0.4493
NVDA,125.0,128,90,0.4229,0.4051
NVDA,125.0,131,90,0.4209,0.4281
NVDA,125.0,134,90,0.4191,0.4107
NVDA,125.0,138,90,0.4172,0.4108
NVDA,125.0,141,90,0.416,0.4081
NVDA,125.0,144,90,0.415,0.4034
NVDA,125.0,147,90,0.4141,0.4148
NVDA,125.0,150,90,0.4135,0.4022
NVDA,125.0,100,120,0.4495,0.4525
NVDA,125.0,103,120,0.4447,0.4442
NVDA,125.0,106,120,0.4404,0.4378
NVDA,125.0,109,120,0.4365,0.4268
NVDA,125.0,112,120,0.433,0.4269
NVDA,125.0,116,120,0.4288,0.4367
NVDA,125.0,119,120,0.426,0.4312
NVDA,125.0,122,120,0.4236,0.4136
NVDA,125.0,125,120,0.4213,0.4223
NVDA,125.0,128,120,0.4194,0.427
NVDA,125.0,131,120,0.4176,0.4004
NVDA,125.0,134,120,0.4161,0.4218
NVDA,125.0,138,120,0.4144,0.4074
NVDA,125.0,141,120,0.4134,0.4195
NVDA,125.0,144,120,0.4125,0.4042
NVDA,125.0,147,120,0.4118,0.3921
NVDA,125.0,150,120,0.4112,0.3933
NVDA,125.0,100,180,0.4379,0.4383
NVDA,125.0,103,180,0.434,0.4362
NVDA,125.0,106,180,0.4305,0.4229
NVDA,125.0,109,180,0.4273,0.4326
NVDA,125.0,112,180,0.4244,0.4109
NVDA,125.0,116,180,0.421,0.4205
NVDA,125.0,119,180,0.4187,0.4093
NVDA,125.0,122,180,0.4167,0.4117
NVDA,125.0,125,180,0.4149,0.4152
NVDA,125.0,128,180,0.4133,0.4067
NVDA,125.0,131,180,0.4119,0.4089
NVDA,125.0,134,180,0.4106,0.4186
NVDA,125.0,138,180,0.4092,0.4046
NVDA,125.0,141,180,0.4084,0.4152
NVDA,125.0,144,180,0.4077,0.3983
NVDA,125.0,147,180,0.4071,0.4115
NVDA,125.0,150,180,0.4066,0.4189
TSLA,230.0,184,7,0.7445,0.612
TSLA,230.0,190,7,0.7023,0.6597
TSLA,230.0,196,7,0.6636,0.6943
TSLA,230.0,201,7,0.6337,0.6229
TSLA,230.0,207,7,0.6006,0.6202
TSLA,230.0,213,7,0.5702,0.5382
TSLA,230.0,218,7,0.5468,0.5513
TSLA,230.0,224,7,0.5209,0.5127
TSLA,230.0,230,7,0.4972,0.5585
TSLA,230.0,236,7,0.4756,0.489
TSLA,230.0,242,7,0.456,0.4738
TSLA,230.0,247,7,0.4409,0.4192
TSLA,230.0,253,7,0.4245,0.3986
TSLA,230.0,259,7,0.4096,0.3866
TSLA,230.0,264,7,0.3984,0.4193
TSLA,230.0,270,7,0.3861,0.3637
TSLA,230.0,276,7,0.3753,0.3907
TSLA,230.0,184,14,0.6709,0.7822
TSLA,230.0,190,14,0.6411,0.6877
TSLA,230.0,196,14,0.6137,0.5963
TSLA,230.0,201,14,0.5926,0.6564
TSLA,230.0,207,14,0.5691,0.5475
TSLA,230.0,213,14,0.5476,0.4399
TSLA,230.0,218,14,0.5311,0.4779
TSLA,230.0,224,14,0.5128,0.4144
TSLA,230.0,230,14,0.4961,0.4776
TSLA,230.0,236,14,0.4808,0.4818
TSLA,230.0,242,14,0.4669,0.5553
TSLA,230.0,247,14,0.4563,0.4736
TSLA,230.0,253,14,0.4446,0.433
TSLA,230.0,259,14,0.4341,0.4782
TSLA,230.0,264,14,0.4262,0.3086
TSLA,230.0,270,14,0.4175,0.4301
TSLA,230.0,276,14,0.4098,0.451
TSLA,230.0,184,30,0.6137,0.5634
TSLA,230.0,190,30,0.5933,0.6321
TSLA,230.0,196,30,0.5746,0.586
TSLA,230.0,201,30,0.5602,0.5462
TSLA,230.0,207,30,0.5442,0.5653
TSLA,230.0,213,30,0.5295,0.6051
TSLA,230.0,218,30,0.5182,0.5242
TSLA,230.0,224,30,0.5057,0.5139
TSLA,230.0,230,30,0.4943,0.4791
TSLA,230.0,236,30,0.4838,0.4558
TSLA,230.0,242,30,0.4743,0.5019
TSLA,230.0,247,30,0.4671,0.4386
TSLA,230.0,253,30,0.4591,0.4615
TSLA,230.0,259,30,0.4519,0.4359
TSLA,230.0,264,30,0.4465,0.4626
TSLA,230.0,270,30,0.4406,0.4519
TSLA,230.0,276,30,0.4353,0.4704
TSLA,230.0,184,45,0.5905,0.5783
TSLA,230.0,190,45,0.5739,0.5675
TSLA,230.0,196,45,0.5586,0.5355
TSLA,230.0,201,45,0.5468,0.5364
TSLA,230.0,207,45,0.5337,0.5425
TSLA,230.0,213,45,0.5217,0.5393
TSLA,230.0,218,45,0.5125,0.4913
TSLA,230.0,224,45,0.5023,0.5222
TSLA,230.0,230,45,0.493,0.5239
TSLA,230.0,236,45,0.4845,0.4939
TSLA,230.0,242,45,0.4767,0.5199
TSLA,230.0,247,45,0.4708,0.4529
TSLA,230.0,253,45,0.4643,0.4353
TSLA,230.0,259,45,0.4584,0.4168
TSLA,230.0,264,45,0.454,0.4891
TSLA,230.0,270,45,0.4492,0.4646
TSLA,230.0,276,45,0.4449,0.4436
TSLA,230.0,184,60,0.5764,0.5816
TSLA,230.0,190,60,0.5619,0.5409
TSLA,230.0,196,60,0.5487,0.594
TSLA,230.0,201,60,0.5385,0.5409
TSLA,230.0,207,60,0.5272,0.5292
